"geographicAreaM49","aquastatElement","ts_length","count_NA_raw","count_NA_imp","num_imp_values","share_NA_imp","definitions"
"Afghanistan",4103,58,46,0,46,79.3103448275862,"Cultivated area (arable land + permanent crops)"
"Afghanistan",4105,58,46,0,46,79.3103448275862,"Rural population"
"Afghanistan",4107,58,47,0,47,81.0344827586207,"Population density"
"Afghanistan",4108,58,50,0,50,86.2068965517241,"Population economically active in agriculture"
"Afghanistan",4150,58,46,0,46,79.3103448275862,"Long-term average annual precipitation in volume"
"Afghanistan",4157,58,46,0,46,79.3103448275862,"Total internal renewable water resources (IRWR)"
"Afghanistan",4158,58,47,0,47,81.0344827586207,"Total internal renewable water resources per capita"
"Afghanistan",4164,58,46,0,46,79.3103448275862,"Surface water: accounted inflow"
"Afghanistan",4176,58,46,0,46,79.3103448275862,"Surface water: total external renewable"
"Afghanistan",4182,58,46,0,46,79.3103448275862,"Water resources: total external renewable"
"Afghanistan",4185,58,46,0,46,79.3103448275862,"Total renewable surface water"
"Afghanistan",4187,58,46,0,46,79.3103448275862,"Total renewable groundwater"
"Afghanistan",4188,58,46,0,46,79.3103448275862,"Total renewable water resources"
"Afghanistan",4190,58,47,0,47,81.0344827586207,"Total renewable water resources per capita"
"Afghanistan",4192,58,46,0,46,79.3103448275862,"Dependency ratio"
"Afghanistan",4196,58,58,58,0,0,"Total exploitable water resources"
"Afghanistan",4253,58,57,0,57,98.2758620689655,"Total water withdrawal"
"Afghanistan",4254,58,57,0,57,98.2758620689655,"Agricultural water withdrawal as % of total water withdrawal"
"Afghanistan",4255,58,56,0,56,96.551724137931,"Municipal water withdrawal as % of total withdrawal"
"Afghanistan",4256,58,56,0,56,96.551724137931,"Industrial water withdrawal as % of total water withdrawal"
"Afghanistan",4257,58,57,0,57,98.2758620689655,"Total water withdrawal per capita"
"Afghanistan",4263,58,58,58,0,0,"Total freshwater withdrawal (primary and secondary)"
"Afghanistan",4271,58,58,58,0,0,"Agricultural water requirement as % of agricultural water withdrawal"
"Afghanistan",4273,58,57,0,57,98.2758620689655,"Agricultural water withdrawal as % of total renewable water resources"
"Afghanistan",4275,58,57,0,57,98.2758620689655,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources"
"Afghanistan",4300,58,58,58,0,0,"Total cultivated area drained"
"Afghanistan",4305,58,58,58,0,0,"% of total cultivated area drained"
"Afghanistan",4311,58,58,58,0,0,"Area equipped for full control irrigation: total"
"Afghanistan",4313,58,58,58,0,0,"Area equipped for irrigation: total"
"Afghanistan",4317,58,58,58,0,0,"Total agricultural water managed area"
"Afghanistan",4319,58,55,0,55,94.8275862068966,"% of agricultural water managed area equipped for irrigation"
"Afghanistan",4323,58,56,0,56,96.551724137931,"% of area equipped for irrigation by groundwater"
"Afghanistan",4324,58,56,0,56,96.551724137931,"% of area equipped for irrigation by surface water"
"Afghanistan",4325,58,58,58,0,0,"% of area equipped for irrigation by mixed surface water and groundwater"
"Afghanistan",4327,58,58,58,0,0,"% of area equipped for irrigation power irrigated"
"Afghanistan",4328,58,57,0,57,98.2758620689655,"% of the area equipped for irrigation actually irrigated"
"Afghanistan",4330,58,58,58,0,0,"% of irrigation potential equipped for irrigation"
"Afghanistan",4331,58,56,0,56,96.551724137931,"% of the cultivated area equipped for irrigation"
"Afghanistan",4445,58,58,58,0,0,"% of area equipped for irrigation salinized"
"Afghanistan",4446,58,58,58,0,0,"% of area equipped for irrigation drained"
"Afghanistan",4448,58,58,58,0,0,"Other agricultural water managed area"
"Afghanistan",4450,58,57,0,57,98.2758620689655,"Freshwater withdrawal as % of internal renewable water resources"
"Afghanistan",4455,58,58,58,0,0,"Conservation agriculture area as % of arable land area"
"Afghanistan",4457,58,57,0,57,98.2758620689655,"Municipal water withdrawal per capita (total population)"
"Afghanistan",4458,58,50,0,50,86.2068965517241,"GDP per Capita"
"Afghanistan",4459,58,58,58,0,0,"Area equipped for full control irrigation: pressurized (sprinkler + localized)"
